Chapters requiring attention (|diff| >= 2):
============================================================

Volume 1:
  Ch            1: PDF=116 Ext= 82 Diff=  34 [UNDER]
  Ch     1698(17): PDF=  6 Ext=  8 Diff=  -2 [OVER]
  Ch     1702(21): PDF=  8 Ext= 10 Diff=  -2 [OVER]
  Ch     1730(49): PDF= 10 Ext= 12 Diff=  -2 [OVER]

Volume 10:
  Ch    1798(117): PDF= 20 Ext= 22 Diff=  -2 [OVER]
  Ch    1835(154): PDF=  6 Ext=  4 Diff=   2 [UNDER]
  Ch      1838(3): PDF=  5 Ext=  3 Diff=   2 [UNDER]
  Ch     1865(30): PDF= 21 Ext= 23 Diff=  -2 [OVER]
  Ch     1892(57): PDF= 11 Ext= 13 Diff=  -2 [OVER]
  Ch     1931(96): PDF=  5 Ext=  3 Diff=   2 [UNDER]
  Ch     1966(35): PDF=  3 Ext=  1 Diff=   2 [UNDER]

